GridID,西北角,东北角,西南角,东南角
1,"39.806162,116.222654","39.806162,116.254882","39.826835,116.222654","39.826835,116.254882"
2,"39.806162,116.254882","39.806162,116.287109","39.826835,116.254882","39.826835,116.287109"
3,"39.806162,116.287109","39.806162,116.319337","39.826835,116.287109","39.826835,116.319337"
4,"39.806162,116.319337","39.806162,116.351564","39.826835,116.319337","39.826835,116.351564"
5,"39.806162,116.351564","39.806162,116.383792","39.826835,116.351564","39.826835,116.383792"
6,"39.806162,116.383792","39.806162,116.416019","39.826835,116.383792","39.826835,116.416019"
7,"39.806162,116.416019","39.806162,116.448247","39.826835,116.416019","39.826835,116.448247"
8,"39.806162,116.448246","39.806162,116.480474","39.826835,116.448246","39.826835,116.480474"
9,"39.806162,116.480474","39.806162,116.512702","39.826835,116.480474","39.826835,116.512702"
10,"39.806162,116.512701","39.806162,116.544929","39.826835,116.512701","39.826835,116.544929"
11,"39.826835,116.222654","39.826835,116.254882","39.847508,116.222654","39.847508,116.254882"
12,"39.826835,116.254882","39.826835,116.287109","39.847508,116.254882","39.847508,116.287109"
13,"39.826835,116.287109","39.826835,116.319337","39.847508,116.287109","39.847508,116.319337"
14,"39.826835,116.319337","39.826835,116.351564","39.847508,116.319337","39.847508,116.351564"
15,"39.826835,116.351564","39.826835,116.383792","39.847508,116.351564","39.847508,116.383792"
16,"39.826835,116.383792","39.826835,116.416019","39.847508,116.383792","39.847508,116.416019"
17,"39.826835,116.416019","39.826835,116.448247","39.847508,116.416019","39.847508,116.448247"
18,"39.826835,116.448246","39.826835,116.480474","39.847508,116.448246","39.847508,116.480474"
19,"39.826835,116.480474","39.826835,116.512702","39.847508,116.480474","39.847508,116.512702"
20,"39.826835,116.512701","39.826835,116.544929","39.847508,116.512701","39.847508,116.544929"
21,"39.847508,116.222654","39.847508,116.254882","39.868180,116.222654","39.868180,116.254882"
22,"39.847508,116.254882","39.847508,116.287109","39.868180,116.254882","39.868180,116.287109"
23,"39.847508,116.287109","39.847508,116.319337","39.868180,116.287109","39.868180,116.319337"
24,"39.847508,116.319337","39.847508,116.351564","39.868180,116.319337","39.868180,116.351564"
25,"39.847508,116.351564","39.847508,116.383792","39.868180,116.351564","39.868180,116.383792"
26,"39.847508,116.383792","39.847508,116.416019","39.868180,116.383792","39.868180,116.416019"
27,"39.847508,116.416019","39.847508,116.448247","39.868180,116.416019","39.868180,116.448247"
28,"39.847508,116.448246","39.847508,116.480474","39.868180,116.448246","39.868180,116.480474"
29,"39.847508,116.480474","39.847508,116.512702","39.868180,116.480474","39.868180,116.512702"
30,"39.847508,116.512701","39.847508,116.544929","39.868180,116.512701","39.868180,116.544929"
31,"39.868180,116.222654","39.868180,116.254882","39.888853,116.222654","39.888853,116.254882"
32,"39.868180,116.254882","39.868180,116.287109","39.888853,116.254882","39.888853,116.287109"
33,"39.868180,116.287109","39.868180,116.319337","39.888853,116.287109","39.888853,116.319337"
34,"39.868180,116.319337","39.868180,116.351564","39.888853,116.319337","39.888853,116.351564"
35,"39.868180,116.351564","39.868180,116.383792","39.888853,116.351564","39.888853,116.383792"
36,"39.868180,116.383792","39.868180,116.416019","39.888853,116.383792","39.888853,116.416019"
37,"39.868180,116.416019","39.868180,116.448247","39.888853,116.416019","39.888853,116.448247"
38,"39.868180,116.448246","39.868180,116.480474","39.888853,116.448246","39.888853,116.480474"
39,"39.868180,116.480474","39.868180,116.512702","39.888853,116.480474","39.888853,116.512702"
40,"39.868180,116.512701","39.868180,116.544929","39.888853,116.512701","39.888853,116.544929"
41,"39.888853,116.222654","39.888853,116.254882","39.909526,116.222654","39.909526,116.254882"
42,"39.888853,116.254882","39.888853,116.287109","39.909526,116.254882","39.909526,116.287109"
43,"39.888853,116.287109","39.888853,116.319337","39.909526,116.287109","39.909526,116.319337"
44,"39.888853,116.319337","39.888853,116.351564","39.909526,116.319337","39.909526,116.351564"
45,"39.888853,116.351564","39.888853,116.383792","39.909526,116.351564","39.909526,116.383792"
46,"39.888853,116.383792","39.888853,116.416019","39.909526,116.383792","39.909526,116.416019"
47,"39.888853,116.416019","39.888853,116.448247","39.909526,116.416019","39.909526,116.448247"
48,"39.888853,116.448246","39.888853,116.480474","39.909526,116.448246","39.909526,116.480474"
49,"39.888853,116.480474","39.888853,116.512702","39.909526,116.480474","39.909526,116.512702"
50,"39.888853,116.512701","39.888853,116.544929","39.909526,116.512701","39.909526,116.544929"
51,"39.909526,116.222654","39.909526,116.254882","39.930199,116.222654","39.930199,116.254882"
52,"39.909526,116.254882","39.909526,116.287109","39.930199,116.254882","39.930199,116.287109"
53,"39.909526,116.287109","39.909526,116.319337","39.930199,116.287109","39.930199,116.319337"
54,"39.909526,116.319337","39.909526,116.351564","39.930199,116.319337","39.930199,116.351564"
55,"39.909526,116.351564","39.909526,116.383792","39.930199,116.351564","39.930199,116.383792"
56,"39.909526,116.383792","39.909526,116.416019","39.930199,116.383792","39.930199,116.416019"
57,"39.909526,116.416019","39.909526,116.448247","39.930199,116.416019","39.930199,116.448247"
58,"39.909526,116.448246","39.909526,116.480474","39.930199,116.448246","39.930199,116.480474"
59,"39.909526,116.480474","39.909526,116.512702","39.930199,116.480474","39.930199,116.512702"
60,"39.909526,116.512701","39.909526,116.544929","39.930199,116.512701","39.930199,116.544929"
61,"39.930199,116.222654","39.930199,116.254882","39.950872,116.222654","39.950872,116.254882"
62,"39.930199,116.254882","39.930199,116.287109","39.950872,116.254882","39.950872,116.287109"
63,"39.930199,116.287109","39.930199,116.319337","39.950872,116.287109","39.950872,116.319337"
64,"39.930199,116.319337","39.930199,116.351564","39.950872,116.319337","39.950872,116.351564"
65,"39.930199,116.351564","39.930199,116.383792","39.950872,116.351564","39.950872,116.383792"
66,"39.930199,116.383792","39.930199,116.416019","39.950872,116.383792","39.950872,116.416019"
67,"39.930199,116.416019","39.930199,116.448247","39.950872,116.416019","39.950872,116.448247"
68,"39.930199,116.448246","39.930199,116.480474","39.950872,116.448246","39.950872,116.480474"
69,"39.930199,116.480474","39.930199,116.512702","39.950872,116.480474","39.950872,116.512702"
70,"39.930199,116.512701","39.930199,116.544929","39.950872,116.512701","39.950872,116.544929"
71,"39.950872,116.222654","39.950872,116.254882","39.971544,116.222654","39.971544,116.254882"
72,"39.950872,116.254882","39.950872,116.287109","39.971544,116.254882","39.971544,116.287109"
73,"39.950872,116.287109","39.950872,116.319337","39.971544,116.287109","39.971544,116.319337"
74,"39.950872,116.319337","39.950872,116.351564","39.971544,116.319337","39.971544,116.351564"
75,"39.950872,116.351564","39.950872,116.383792","39.971544,116.351564","39.971544,116.383792"
76,"39.950872,116.383792","39.950872,116.416019","39.971544,116.383792","39.971544,116.416019"
77,"39.950872,116.416019","39.950872,116.448247","39.971544,116.416019","39.971544,116.448247"
78,"39.950872,116.448246","39.950872,116.480474","39.971544,116.448246","39.971544,116.480474"
79,"39.950872,116.480474","39.950872,116.512702","39.971544,116.480474","39.971544,116.512702"
80,"39.950872,116.512701","39.950872,116.544929","39.971544,116.512701","39.971544,116.544929"
81,"39.971544,116.222654","39.971544,116.254882","39.992217,116.222654","39.992217,116.254882"
82,"39.971544,116.254882","39.971544,116.287109","39.992217,116.254882","39.992217,116.287109"
83,"39.971544,116.287109","39.971544,116.319337","39.992217,116.287109","39.992217,116.319337"
84,"39.971544,116.319337","39.971544,116.351564","39.992217,116.319337","39.992217,116.351564"
85,"39.971544,116.351564","39.971544,116.383792","39.992217,116.351564","39.992217,116.383792"
86,"39.971544,116.383792","39.971544,116.416019","39.992217,116.383792","39.992217,116.416019"
87,"39.971544,116.416019","39.971544,116.448247","39.992217,116.416019","39.992217,116.448247"
88,"39.971544,116.448246","39.971544,116.480474","39.992217,116.448246","39.992217,116.480474"
89,"39.971544,116.480474","39.971544,116.512702","39.992217,116.480474","39.992217,116.512702"
90,"39.971544,116.512701","39.971544,116.544929","39.992217,116.512701","39.992217,116.544929"
91,"39.992217,116.222654","39.992217,116.254882","40.012890,116.222654","40.012890,116.254882"
92,"39.992217,116.254882","39.992217,116.287109","40.012890,116.254882","40.012890,116.287109"
93,"39.992217,116.287109","39.992217,116.319337","40.012890,116.287109","40.012890,116.319337"
94,"39.992217,116.319337","39.992217,116.351564","40.012890,116.319337","40.012890,116.351564"
95,"39.992217,116.351564","39.992217,116.383792","40.012890,116.351564","40.012890,116.383792"
96,"39.992217,116.383792","39.992217,116.416019","40.012890,116.383792","40.012890,116.416019"
97,"39.992217,116.416019","39.992217,116.448247","40.012890,116.416019","40.012890,116.448247"
98,"39.992217,116.448246","39.992217,116.480474","40.012890,116.448246","40.012890,116.480474"
99,"39.992217,116.480474","39.992217,116.512702","40.012890,116.480474","40.012890,116.512702"
100,"39.992217,116.512701","39.992217,116.544929","40.012890,116.512701","40.012890,116.544929"
